Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
47,68.68,0.61,34.74,2.85,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10, 'model__n_estimators': 50}"
48,68.31,0.6,34.19,2.8,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10, 'model__n_estimators': 25}"
49,67.17,0.72,32.9,3.4,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10, 'model__n_estimators': 10}"
50,73.59,0.68,30.11,3.03,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15, 'model__n_estimators': 100}"
51,73.48,0.67,30.39,2.88,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15, 'model__n_estimators': 75}"
52,73.36,0.65,30.44,3.03,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15, 'model__n_estimators': 50}"
53,72.88,0.64,30.2,2.68,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15, 'model__n_estimators': 25}"
54,71.65,0.64,28.58,2.98,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15, 'model__n_estimators': 10}"
55,73.96,0.69,29.05,3.18,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20, 'model__n_estimators': 100}"
56,73.88,0.68,29.29,2.99,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20, 'model__n_estimators': 75}"
57,73.75,0.67,29.21,3.28,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20, 'model__n_estimators': 50}"
58,73.25,0.65,28.8,2.98,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20, 'model__n_estimators': 25}"
59,71.87,0.66,27.04,3.56,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20, 'model__n_estimators': 10}"
60,51.5,0.28,40.65,1.96,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5, 'model__n_estimators': 100}"
61,51.46,0.28,40.72,1.9,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5, 'model__n_estimators': 75}"
62,51.4,0.28,40.58,2.0,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5, 'model__n_estimators': 50}"
63,51.26,0.3,40.52,2.12,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5, 'model__n_estimators': 25}"
64,50.56,0.28,39.51,2.03,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5, 'model__n_estimators': 10}"
65,69.1,0.63,34.38,2.72,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10, 'model__n_estimators': 100}"
66,69.0,0.61,34.48,2.68,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10, 'model__n_estimators': 75}"
67,68.7,0.59,34.64,2.86,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10, 'model__n_estimators': 50}"
68,68.33,0.58,34.1,2.81,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10, 'model__n_estimators': 25}"
69,67.25,0.67,32.73,3.41,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10, 'model__n_estimators': 10}"
70,73.61,0.68,29.89,3.01,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15, 'model__n_estimators': 100}"
71,73.5,0.67,30.13,2.87,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15, 'model__n_estimators': 75}"
72,73.38,0.64,30.22,3.01,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15, 'model__n_estimators': 50}"
73,72.92,0.63,30.01,2.67,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15, 'model__n_estimators': 25}"
74,71.73,0.64,28.31,2.99,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15, 'model__n_estimators': 10}"
75,73.98,0.69,28.83,3.15,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20, 'model__n_estimators': 100}"
76,73.9,0.68,29.04,2.96,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20, 'model__n_estimators': 75}"
77,73.78,0.67,29.0,3.25,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20, 'model__n_estimators': 50}"
78,73.29,0.65,28.63,2.96,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20, 'model__n_estimators': 25}"
79,71.97,0.66,26.76,3.54,"{'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20, 'model__n_estimators': 10}"
